patient_id	sample_id	sample_type	read_length	alignment
CGPLPA768	CGPLPA768P5	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA768P5.hg19.cram
CGPLPA768	CGPLPA768P6	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA768P6.hg19.cram
CGPLPA769	CGPLPA769P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA769P.hg19.cram
CGPLPA769	CGPLPA769P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA769P1.hg19.cram
CGPLPA771	CGPLPA771P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA771P.hg19.cram
CGPLPA771	CGPLPA771P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA771P1.hg19.cram
CGPLPA771	CGPLPA771P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA771P2.hg19.cram
CGPLPA772	CGPLPA772P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA772P.hg19.cram
CGPLPA772	CGPLPA772P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA772P1.hg19.cram
CGPLPA772	CGPLPA772P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA772P2.hg19.cram
CGPLPA772	CGPLPA772P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA772P3.hg19.cram
CGPLPA773	CGPLPA773P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA773P.hg19.cram
CGPLPA773	CGPLPA773P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA773P1.hg19.cram
CGPLPA773	CGPLPA773P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA773P2.hg19.cram
CGPLPA773	CGPLPA773P6	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA773P6.hg19.cram
CGPLPA774	CGPLPA774P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA774P.hg19.cram
CGPLPA774	CGPLPA774P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA774P2.hg19.cram
CGPLPA775	CGPLPA775P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA775P.hg19.cram
CGPLPA775	CGPLPA775P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA775P1.hg19.cram
CGPLPA775	CGPLPA775P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA775P2.hg19.cram
CGPLPA775	CGPLPA775P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA775P3.hg19.cram
CGPLPA775	CGPLPA775P4	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA775P4.hg19.cram
CGPLPA777	CGPLPA777P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA777P.hg19.cram
CGPLPA777	CGPLPA777P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA777P1.hg19.cram
CGPLPA779	CGPLPA779P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA779P.hg19.cram
CGPLPA779	CGPLPA779P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA779P1.hg19.cram
CGPLPA779	CGPLPA779P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA779P2.hg19.cram
CGPLPA779	CGPLPA779P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA779P3.hg19.cram
CGPLPA780	CGPLPA780P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA780P.hg19.cram
CGPLPA780	CGPLPA780P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA780P1.hg19.cram
CGPLPA781	CGPLPA781P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA781P.hg19.cram
CGPLPA781	CGPLPA781P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA781P1.hg19.cram
CGPLPA781	CGPLPA781P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA781P2.hg19.cram
CGPLPA781	CGPLPA781P3_1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA781P3_1.hg19.cram
CGPLPA781	CGPLPA781P4	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA781P4.hg19.cram
CGPLPA781	CGPLPA781P5	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA781P5.hg19.cram
CGPLPA781	CGPLPA781P6	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA781P6.hg19.cram
CGPLPA785	CGPLPA785P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA785P.hg19.cram
CGPLPA786	CGPLPA786P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA786P.hg19.cram
CGPLPA786	CGPLPA786P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA786P1.hg19.cram
CGPLPA786	CGPLPA786P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA786P2.hg19.cram
CGPLPA786	CGPLPA786P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA786P3.hg19.cram
CGPLPA787	CGPLPA787P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA787P.hg19.cram
CGPLPA787	CGPLPA787P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA787P1.hg19.cram
CGPLPA787	CGPLPA787P10	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA787P10.hg19.cram
CGPLPA787	CGPLPA787P11	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA787P11.hg19.cram
CGPLPA787	CGPLPA787P12	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA787P12.hg19.cram
CGPLPA787	CGPLPA787P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA787P2.hg19.cram
CGPLPA787	CGPLPA787P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA787P3.hg19.cram
CGPLPA787	CGPLPA787P4	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA787P4.hg19.cram
CGPLPA787	CGPLPA787P5	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA787P5.hg19.cram
CGPLPA787	CGPLPA787P9	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA787P9.hg19.cram
CGPLPA788	CGPLPA788P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA788P.hg19.cram
CGPLPA788	CGPLPA788P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA788P1.hg19.cram
CGPLPA788	CGPLPA788P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA788P2.hg19.cram
CGPLPA788	CGPLPA788P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA788P3.hg19.cram
CGPLPA789	CGPLPA789P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA789P1.hg19.cram
CGPLPA789	CGPLPA789P6	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA789P6.hg19.cram
CGPLPA789	CGPLPA789P7	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA789P7.hg19.cram
CGPLPA789	CGPLPA789P8	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA789P8.hg19.cram
CGPLPA789	CGPLPA789P9	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA789P9.hg19.cram
CGPLPA790	CGPLPA790P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA790P1.hg19.cram
CGPLPA790	CGPLPA790P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA790P2.hg19.cram
CGPLPA790	CGPLPA790P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA790P3.hg19.cram
CGPLPA790	CGPLPA790P4	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA790P4.hg19.cram
CGPLPA791	CGPLPA791P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA791P.hg19.cram
CGPLPA791	CGPLPA791P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA791P1.hg19.cram
CGPLPA791	CGPLPA791P2_1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA791P2_1.hg19.cram
CGPLPA792	CGPLPA792P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA792P.hg19.cram
CGPLPA792	CGPLPA792P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA792P1.hg19.cram
CGPLPA792	CGPLPA792P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA792P2.hg19.cram
CGPLPA794	CGPLPA794P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA794P.hg19.cram
CGPLPA794	CGPLPA794P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA794P1.hg19.cram
CGPLPA794	CGPLPA794P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA794P2.hg19.cram
CGPLPA794	CGPLPA794P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA794P3.hg19.cram
CGPLPA794	CGPLPA794P4	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA794P4.hg19.cram
CGPLPA794	CGPLPA794P5	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA794P5.hg19.cram
CGPLPA796	CGPLPA796P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA796P.hg19.cram
CGPLPA796	CGPLPA796P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA796P1.hg19.cram
CGPLPA796	CGPLPA796P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA796P2.hg19.cram
CGPLPA797	CGPLPA797P	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA797P.hg19.cram
CGPLPA797	CGPLPA797P1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA797P1.hg19.cram
CGPLPA797	CGPLPA797P2	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA797P2.hg19.cram
CGPLPA797	CGPLPA797P3	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA797P3.hg19.cram
CGPLPA797	CGPLPA797P4	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA797P4.hg19.cram
CGPLPA797	CGPLPA797P5	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA797P5.hg19.cram
CGPLPA797	CGPLPA797P6	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA797P6.hg19.cram
CGPLPA797	CGPLPA797P7_1	plasma	100	/dcs04/scharpf/data/chruban/projects/checkpac/PLASMAwgs/100bp/cram/CGPLPA797P7_1.hg19.cram
